annuaire,tier,cout,url_inscription,statut,url_fiche,date,notes
Apple Business (ex-Apple Business Connect) — Plans / Siri,1,gratuit,https://businessconnect.apple.com/,a_faire,,,
Bing Places for Business,1,gratuit,https://www.bingplaces.com/,a_faire,,,
Facebook / Meta (page entreprise),1,gratuit,https://www.facebook.com/pages/create,a_faire,,,
Google Business Profile,1,gratuit,https://business.google.com/create,a_faire,,,
LinkedIn (page entreprise),1,gratuit,https://www.linkedin.com/company/setup/new/,a_faire,,,
localsearch (local.ch + search.ch + localcities.ch),1,"inscription de base gratuite ; options payantes (pack ~CHF 420+/an, offres commerciales jusqu'a plusieurs milliers)",https://www.localsearch.ch/fr/start-free/,a_faire,,,
Branchenbuch.ch,2,gratuit,https://www.branchenbuch.ch/,a_faire,,,
"Chambres de commerce cantonales (ex. ccig.ch Geneve, cvci.ch Vaud)",2,cotisation de membre,https://www.ccig.ch/,a_faire,,,
Cylex Suisse,2,gratuit,https://www.cylex-swiss.ch/,a_faire,,,
Federation Suisse des Avocats (SAV-FSA),2,cotisation de membre,https://www.sav-fsa.ch/,a_faire,,,
Instagram (profil professionnel),2,gratuit,https://www.instagram.com/,a_faire,,,
Moneyhouse,2,gratuit (donnees issues du registre du commerce) ; profil enrichi payant,https://www.moneyhouse.ch/,a_faire,,,
Opendi Suisse,2,gratuit,https://www.opendi.ch/,a_faire,,,
"Ordres cantonaux des avocats (ex. oav.ch Vaud, odage.ch Geneve)",2,cotisation / inscription au barreau,https://www.oav.ch/,a_faire,,,
Pagesdor.ch,2,gratuit,https://pagesdor.ch/,a_faire,,,
Trustpilot (profil gratuit),2,gratuit (plan de base),https://business.trustpilot.com/signup,a_faire,,,
Tupalo,2,gratuit,https://tupalo.com/,a_faire,,,
Wikidata,2,gratuit,https://www.wikidata.org/,a_faire,,,
Yelp Suisse,2,gratuit,https://www.yelp.ch/,a_faire,,,
Zefix (registre du commerce federal),2,gratuit,https://www.zefix.ch/,a_faire,,,
Entreprises de la region,3,gratuit,https://entreprisesdelaregion.ch/,a_faire,,,
Foursquare,3,gratuit,https://foursquare.com/,a_faire,,,
HERE Maps (via HERE Map Creator),3,gratuit,https://mapcreator.here.com/,a_faire,,,
Hotfrog Suisse,3,gratuit,https://www.hotfrog.ch/,a_faire,,,
Infobel,3,gratuit,https://www.infobel.com/fr/switzerland,a_faire,,,
OpenStreetMap,3,gratuit,https://www.openstreetmap.org/,a_faire,,,
ProvenExpert,3,gratuit (plan de base),https://www.provenexpert.com/,a_faire,,,
TomTom (via MapShare),3,gratuit,https://www.tomtom.com/mapshare/tools/,a_faire,,,
Waze,3,gratuit (pas d'inscription entreprise),https://www.waze.com/editor,a_faire,,,
Xing (profil entreprise),3,gratuit (profil de base),https://www.xing.com/,a_faire,,,
YouTube (chaine),3,gratuit,https://www.youtube.com/,a_faire,,,
